ID,ideology,leadership,name,party,description,introduced_bills_117,cosponsored_bills_117,unique_cosponsors_117,total_cosponsors_117
412244,0.49817317557997864,0.7041232615127575,Tester,Democrat,centrist Democrat,72,284,91,596
412247,0.18853075289588198,0.5513739777055824,Whitehouse,Democrat,rank-and-file Democrat,58,475,74,418
300089,0.6655459661551948,0.0,Shelby,Republican,centrist Republican follower ,8,54,3,5
300055,0.973631227493872,0.46460522434353546,Inhofe,Republican,conservative Republican,31,291,69,209
412251,0.9083208623054626,0.5439249248244454,Barrasso,Republican,conservative Republican,47,276,99,376
412269,0.794486891798029,0.5239310868130821,Cassidy,Republican,rank-and-file Republican,59,335,81,205
300027,0.8936231083841834,0.8768693612023644,Cornyn,Republican,moderate Republican leader,102,365,95,619
412508,0.9580092264423681,0.4095249910942896,Cotton,Republican,conservative Republican,68,253,58,266
412464,0.9521096671404201,0.3828554099582867,Lankford,Republican,conservative Republican,52,340,66,218
412495,0.796284147563868,0.6019627109150202,Lee,Republican,moderate Republican leader,131,148,99,545
300072,0.694979880627228,0.5077002733968118,McConnell,Republican,centrist Republican,14,92,100,208
412492,0.7308095944985634,0.3532208103843582,Paul,Republican,centrist Republican,64,140,59,172
412669,0.9043222644716891,0.36113724706265393,Rounds,Republican,rank-and-file Republican,30,297,91,227
412665,0.7471429394344254,0.47500998605320666,Sullivan,Republican,rank-and-file Republican,46,256,88,238
400408,0.721055117832038,0.5436159612321277,Toomey,Republican,centrist Republican,28,108,61,160
300100,0.14506341449630536,0.6650489736660395,Wyden,Democrat,progressive Democrat,84,539,76,427
400050,0.13497089122842754,0.7782556635536014,Brown,Democrat,progressive Democratic leader,85,554,92,825
400064,0.2416531315545072,0.871564895633995,Cardin,Democrat,moderate Democratic leader,77,459,91,657
412281,0.2770719428869539,0.4225307126640359,Heinrich,Democrat,rank-and-file Democrat,56,326,84,316
412200,0.11444317602649558,0.5360300189837345,Hirono,Democrat,progressive Democrat,52,464,61,465
300065,0.2181989899353626,0.38543210556217,Leahy,Democrat,moderate Democratic follower,24,327,58,113
412305,0.4447661031996913,0.5271373284697723,Peters,Democrat,centrist Democrat,110,415,76,280
412507,0.2484378933304166,0.6581301459081259,Schatz,Democrat,rank-and-file Democrat,74,258,86,522
300093,0.2664396269429837,0.5937662246494273,Stabenow,Democrat,rank-and-file Democrat,50,395,99,527
300075,0.5679231692297169,0.6034955685436667,Murkowski,Republican,centrist Republican leader,47,293,99,399
400034,0.7725200951147327,0.5260504338070843,Blunt,Republican,rank-and-file Republican,26,243,60,98
400061,0.7399599590479484,0.40184352877580704,Capito,Republican,rank-and-file Republican,22,415,85,228
412549,0.9202355708757666,0.5678338258272705,Daines,Republican,conservative Republican,65,400,88,417
412679,0.8761953318431736,0.3619141268556997,Kennedy,Republican,rank-and-file Republican,80,209,60,141
400284,0.8056005030535578,0.5329253429393663,Moran,Republican,rank-and-file Republican,49,319,99,360
412322,0.8925132038549123,0.48389055729442937,Risch,Republican,rank-and-file Republican,45,320,73,286
412471,0.8508846082010207,0.6019319441301288,Scott [SC],Republican,moderate Republican leader,49,332,91,517
412668,0.9073159140461705,0.38243653827906776,Tillis,Republican,rank-and-file Republican,40,490,60,187
400432,0.8560821068205344,0.6365836100173613,Wicker,Republican,moderate Republican leader,62,403,95,300
412428,0.7631916866460299,0.5426395321814855,Young,Republican,rank-and-file Republican,38,287,99,324
400272,0.2686266003783777,1.0,Menendez,Democrat,moderate Democratic leader,152,362,92,1291
412490,0.10099548101733473,0.6426829261804324,Blumenthal,Democrat,progressive Democrat,91,873,75,675
412598,0.09149236947784994,0.7246602540792696,Booker,Democrat,progressive Democratic leader,111,695,83,849
300019,0.3259581882955914,0.41069507244856185,Carper,Democrat,moderate Democratic follower,28,244,71,160
412390,0.40457684223133816,0.7166837178755522,Coons,Democrat,centrist Democratic leader,70,458,92,521
300038,0.1446293736338642,0.7653069895625025,Durbin,Democrat,progressive Democratic leader,111,578,92,733
300043,0.20349439053411228,0.7161930134827684,Feinstein,Democrat,moderate Democratic leader,79,626,86,586
412223,0.07408342587651078,0.649181000264879,Gillibrand,Democrat,progressive Democrat,77,487,92,588
400253,0.07110961448915921,0.8019484666220417,Markey,Democrat,progressive Democratic leader,124,589,93,936
412194,0.2007334565273412,0.4333238439237536,Murphy,Democrat,rank-and-file Democrat,49,384,67,234
412742,0.17905544764655404,0.48332600241451,Smith,Democrat,rank-and-file Democrat,65,637,83,361
400415,0.15663485772780958,0.453681794427422,Van Hollen,Democrat,rank-and-file Democrat,59,684,80,299
412542,0.15291979180457463,0.7154414954508503,Warren,Democrat,rank-and-file Democrat,93,611,76,710
412323,0.33739345075284827,0.7158606364081047,Shaheen,Democrat,moderate Democratic leader,75,431,94,673
400013,0.21503712624854115,0.6418347911435022,Baldwin,Democrat,rank-and-file Democrat,56,532,79,331
412330,0.31353554276800816,0.40301548636929224,Bennet,Democrat,moderate Democratic follower,48,357,66,137
300018,0.28376437975362845,0.44521194007027265,Cantwell,Democrat,rank-and-file Democrat,30,225,79,206
412246,0.259964107923627,0.714778266738424,Casey,Democrat,rank-and-file Democrat,118,503,85,799
412681,0.2683512150215624,0.5526757464209398,Cortez Masto,Democrat,rank-and-file Democrat,112,438,99,497
412533,0.19696183507606618,0.5617748446264724,Duckworth,Democrat,rank-and-file Democrat,82,485,81,532
412678,0.10858426465777081,0.424028519399607,Harris,Democrat,progressive Democrat,0,0,0,0
412680,0.4053550971191735,0.37778034035170716,Hassan,Democrat,centrist Democratic follower,79,494,78,273
412582,0.2472382641179722,0.603605953397113,Kaine,Democrat,rank-and-file Democrat,49,397,92,473
412545,0.4755804102060421,0.33129283609325577,King,Independent,lonely centrist Independent,45,457,79,229
412242,0.20074149772261055,0.8544943529271346,Klobuchar,Democrat,moderate Democratic leader,166,680,99,1038
412391,0.5798140378314646,0.46872797142007194,Manchin,Democrat,centrist Democrat,48,201,78,211
412325,0.03893871412172075,0.6342673271717908,Merkley,Democrat,progressive Democrat,83,567,76,523
300076,0.17873026297627925,0.6702315435902321,Murray,Democrat,rank-and-file Democrat,56,335,66,732
300081,0.16452188337858667,0.48798581866867735,Reed,Democrat,rank-and-file Democrat,52,317,77,297
400357,0.0,0.2991873202237566,Sanders,Independent,lonely left-leaning Independent,36,428,46,238
300087,0.2730793991642295,0.4938547996155502,Schumer,Democrat,rank-and-file Democrat,56,161,99,168
412321,0.3947837263216863,0.5646608992709085,Warner,Democrat,rank-and-file Democrat,47,263,99,289
400054,0.6822737243589667,0.45689597462150233,Burr,Republican,centrist Republican,22,174,87,154
300025,0.5505805181312736,0.7150643908149541,Collins,Republican,centrist Republican leader,48,495,83,365
412573,1.0,0.596763953979027,Cruz,Republican,conservative Republican,101,325,71,438
412667,0.9175740777284151,0.6039091301397032,Ernst,Republican,conservative Republican leader,74,410,96,593
412556,0.8158289030679801,0.3223077952167488,Fischer,Republican,rank-and-file Republican,24,197,61,138
300047,0.693981552647093,0.6632588112993013,Graham,Republican,centrist Republican leader,29,188,76,248
300048,0.7547372608676488,0.8369111903176022,Grassley,Republican,moderate Republican leader,87,362,97,669
412494,0.8543857534436938,0.4260443212378799,Hoeven,Republican,rank-and-file Republican,22,291,48,128
412496,0.7953719611885226,0.43568845454944166,Johnson,Republican,rank-and-file Republican,16,151,47,133
400325,0.6498754102227259,0.6294715134954544,Portman,Republican,centrist Republican leader,82,299,92,338
412491,0.8983252367906939,0.9347757961578174,Rubio,Republican,moderate Republican leader,209,491,96,922
412671,0.7756222406879829,0.2514632721312909,Sasse,Republican,moderate Republican follower,12,116,47,51
400546,0.8545843664213411,0.573518926662884,Thune,Republican,rank-and-file Republican,61,221,84,360
300030,0.8770279680822568,0.5443660497999359,Crapo,Republican,rank-and-file Republican,21,273,92,297
400040,0.8670691629468826,0.4975659536510654,Boozman,Republican,rank-and-file Republican,20,395,99,304
412743,0.902918700348333,0.2474867535225772,Hyde-Smith,Republican,moderate Republican follower,13,367,43,131
400032,0.975011460805509,0.4210605523721223,Blackburn,Republican,conservative Republican,67,482,67,334
412555,0.9526053363189868,0.2668033427174015,Cramer,Republican,lonley conservative Republican follower,19,470,57,96
412715,0.3605968195685579,0.44930234506748623,Rosen,Democrat,rank-and-file Democrat,71,513,94,338
412509,0.6292333868320839,0.3314467384832016,Sinema,Democrat,centrist Democratic follower,35,360,77,184
412838,0.9650292752081522,0.33811693893242456,Scott [FL],Republican,conservative Republican,106,419,62,361
456790,0.7423648467316516,0.052885920975163155,Loeffler,Republican,moderate Republican follower,0,1,0,0
412840,0.8602297747530182,0.20053850252768585,Hawley,Republican,moderate Republican follower,49,232,25,55
412839,0.9689121370297938,0.4631478514954523,Braun,Republican,conservative Republican,104,552,85,469
412841,0.6868737634387749,0.10018821516316047,Romney,Republican,centrist Republican follower ,14,130,29,35
456794,0.48798834395548496,0.11683269886464796,Kelly,Democrat,centrist Democratic follower,37,316,47,92
456798,0.7836021432823572,0.2852620665503217,Hagerty,Republican,moderate Republican follower,28,297,80,263
412294,0.8058304964253528,0.09200263666065504,Lummis,Republican,moderate Republican follower,17,319,38,68
412704,0.8088135329656623,0.31035525736699343,Marshall,Republican,rank-and-file Republican,66,364,77,366
456796,0.7406313071760615,0.06034062712539045,Tuberville,Republican,moderate Republican follower,15,168,26,49
456797,0.42594308136438036,0.06720933930792111,Hickenlooper,Democrat,centrist Democratic follower,25,236,35,54
412293,0.312051719564425,0.23157705002645,LujÃ¡n,Democrat,moderate Democratic follower,58,384,73,227
456857,0.3981883921580715,0.20452373636065957,Ossoff,Democrat,centrist Democratic follower,50,244,74,158
456856,0.19227405000564599,0.2882671262885718,Padilla,Democrat,moderate Democratic follower,57,607,81,339
456858,0.5020157101945322,0.502433109982156,Warnock,Democrat,centrist Democrat,56,363,99,676